0.1094407 0.06057781 0.5721645
0.08900341 0.1074558 0.5023565
0.08581772 0.139976 0.4534416
0.08104911 0.2343584 0.3539007
0.07613848 0.2481945 0.2978826
0.06072552 0.2136754 0.2044706
0.03689744 0.1753013 0.0658617
0.02533285 0.1537334 0.01946974
0.007216416 0.1207709 -0.07232738
-0.01207539 0.06793511 -0.1785505
-0.02378193 0.03822643 -0.2235873
-0.04824276 -0.05595219 -0.2913394
-0.06544413 -0.1124378 -0.3117003
-0.08531353 -0.2232527 -0.3465064
-0.102146 -0.3304094 -0.3563664
-0.1114745 -0.3818704 -0.3513963
-0.1231433 -0.456282 -0.3377755
